"poi_id";"Address";"Lat";"Lon";"Sector";"Bauerschaft";"Company";"ConsumedGoods";"ProducedGoods";"Weight";"MinSize";"MaxSize";"Size"
"35";"Tilbeck 2, 48329 Havixbeck";"51.943515";"7.445777";"Manufaktur";"Bauerschaft Tilbeck";"Bauerschaft Tilbeck - Alexianer Stift Tilbeck";"[]";"[14]";"small";"small";"small";"small"
"36";"Walingen 42, 48329 Havixbeck";"51.995891";"7.455144";"Landwirtschaft";"Bauerschaft Walingen";"Bauerschaft Walingen - Imkerei Gerdes";"[]";"[5]";"tiny";"tiny";"tiny";"tiny"
"37";"Roxeler Str. 17, 48329 Havixbeck";"51.996366";"7.465876";"Landwirtschaft";"";"ADFC Havixbeck";"[]";"[]";"tiny";"none";"small";"none"
"38";"Altenberger Str. 18, 48329 Havixbeck";"51.9788520583412";"7.41516375601726";"Medizin";"";"Marienstift Droste zu Hülsoff";"[6, 7]";"[]";"medium";"big";"big";"big"
"39";"Auf dem Blick 25, 48329 Havixbeck";"51.975997707286";"7.40806501814951";"Medizin";"";"Haus Thomas, Stift Tilbeck";"[6, 7]";"[]";"medium";"big";"big";"big"
"40";"Hauptstraße 11, 48329 Havixbeck";"51.9781233051473";"7.40717767591604";"Medizin";"";"Haus Barbara, Stift Tilbeck";"[6, 7]";"[]";"medium";"big";"big";"big"
"41";"Südlohnweg 1-3, 48161 Münster";"51.9826999067774";"7.56313249496813";"Medizin";"";"Altenheim St. Elisabeth";"[6, 7]";"[]";"medium";"big";"big";"big"
"42";"Stevern 58, 48301 Nottuln";"51.9420219734889";"7.40894106013894";"Medizin";"";"Seniorenheim Haus Stevertal";"[6, 7]";"[]";"medium";"big";"big";"big"
"43";"Poppenbeck 28, 48329 Havixbeck";"51.9914279605328";"7.39330390671526";"Gastronomie";"";"Historisches Brauhaus Klute";"[3, 0, 1, 15, 5]";"[]";"medium";"medium";"medium";"medium"
"44";"Hauptstraße 56, 48329 Havixbeck";"51.9777898706698";"7.41235832023409";"Gastronomie";"";"Wanjas";"[3, 0, 1, 15, 5]";"[]";"medium";"medium";"medium";"medium"
"45";"Hauptstraße 67, 48329 Havixbeck";"51.9769439608995";"7.4130449657663";"Gastronomie";"";"Yosara";"[3, 0, 1, 15, 5]";"[]";"medium";"medium";"medium";"medium"
"46";"Herkentrup 24, 48329 Havixbeck";"51.9704696100224";"7.46623789579288";"Gastronomie";"";"Landgasthaus Overwaul";"[3, 0, 1, 15, 5]";"[]";"medium";"medium";"medium";"medium"
"47";"Dörholt 14b, 48727 Billerbeck";"51.966448479159";"7.33299086409119";"Gastronomie";"";"La Baita";"[3, 0, 1, 15, 5]";"[]";"medium";"medium";"medium";"medium"
"48";"Masbeck 30, 48329 Havixbeck";"51.9664900756604";"7.42682585389185";"Gastronomie";"";"Haus Füsting";"[3, 0, 1, 15, 5]";"[]";"medium";"medium";"medium";"medium"
"49";"Stevern 36, 48301 Nottuln";"51.9427513051285";"7.38364033015002";"Gastronomie";"";"Gasthaus Stevertal";"[3, 0, 1, 15, 5]";"[]";"medium";"medium";"medium";"medium"
"50";"Bestensee, Platz 2, 48329 Havixbeck";"51.9764660233234";"7.41213455459769";"Gastronomie";"";"Apollon";"[3, 0, 1, 15, 5]";"[]";"medium";"medium";"medium";"medium"
"51";"Altenberger Str. 14, 48329 Havixbeck";"51.9768455978145";"7.41275076444476";"Gastronomie";"";"Gasthaus Kemper";"[3, 0, 1, 15, 5]";"[]";"medium";"medium";"medium";"medium"
"52";"Poppenbeck 43, 48329 Havixbeck";"51.9874173717893";"7.39898948220264";"Einzelhandel";"";"Lüfls Landlädchen";"[3, 0, 1, 15, 5, 14]";"[]";"small";"big";"big";"big"
"53";"Hauptstraße, 48329 Havixbeck";"51.9770032338275";"7.41478232783544";"Einzelhandel";"";"Wochenmarkt Havixbeck";"[3, 0, 1, 15, 5, 14]";"[]";"small";"big";"big";"big"
