"good_id";"Product";"Potential";"Weight";"Size";"SpecialFeatures";"Icon"
"6";"drinks";"8";"medium";"medium";"['fragile', 'heavy padding']";"🥤"
"9";"food";"9";"small";"medium";"['light padding']";"🥦"
"20";"bread";"8";"small";"small";"[]";"🍞"
"7";"wine";"7";"medium";"medium";"['fragile', 'heavy padding']";"🍷"
"21";"beer";"7";"medium";"medium";"['fragile', 'heavy padding']";"🍺"
"11";"honey";"6";"small";"tiny";"['light padding']";"🍯"
"12";"medicine";"10";"tiny";"tiny";"['refrigeration']";"💊"
"13";"medical_bandages";"9";"small";"small";"['padding']";"🩹"
