"poi_id";"Address";"Lat";"Lon";"Sector";"Company";"ConsumedGoods";"ProducedGoods";"Weight";"MinSize";"MaxSize";"Size"
"29";"";"52.0252846";"7.4880205";"gastronomy";"Garten Cafe";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"30";"";"51.9346695";"7.4157145";"gastronomy";"Italia";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"31";"";"51.9761443";"7.4113212";"gastronomy";"Apollon";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"32";"Hauptstraße 67, 48329 Havixbeck";"51.9747464";"7.4132821";"gastronomy";"asiahub";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"33";"";"51.9937148";"7.569674";"gastronomy";"Papa George Nienberge";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"34";"Haus Uhlenkotten 28, 48159 Münster";"51.9914298";"7.5689584";"gastronomy";"Kochmütze";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"35";"Am Dorn 11, 48308 Senden";"51.9038451";"7.4879908";"gastronomy";"Burger King";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"36";"";"52.0161436";"7.4622743";"gastronomy";"Geuker Wiedemann";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"37";"";"51.9728029";"7.5649062";"gastronomy";"MERO´S";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"38";"";"51.9545154";"7.5328868";"gastronomy";"Roxeler Fass";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"39";"";"51.9526638";"7.5335818";"gastronomy";"Trattoria La Bruschetta";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"40";"";"51.9395695";"7.444249";"gastronomy";"Das Lauschig";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"41";"";"51.9716577";"7.5038813";"gastronomy";"Burg Hülshoff";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"42";"";"51.9751114";"7.4120003";"gastronomy";"Backhaus Jankord";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"43";"";"51.9037295";"7.4891648";"gastronomy";"Restaurant im Autohof";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"44";"Altenberger Straße 9, 48161 Münster";"51.9978704";"7.562085";"gastronomy";"Nienberger Grill";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"45";"Altenberger Straße 22, 48161 Münster";"51.9988956";"7.5606473";"gastronomy";"Franz Küche";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"46";"";"51.9787649";"7.5445597";"gastronomy";"Bauwagen auf der Obstwiese";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"47";"Toppheideweg 15, 48161 Münster";"51.9749617";"7.5699128";"gastronomy";"KEBAB BROS";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"48";"Zur Aabrücke 2, 48329 Hohenholte";"51.9969384";"7.4625458";"gastronomy";"Speicher 3";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"49";"48727 Billerbeck";"52.0120173";"7.3404064";"gastronomy";"Uhlenhook";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"50";"48329 Havixbeck";"51.9684497";"7.467313";"gastronomy";"Overwaul";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"51";"Poppenbeck 28, 48329 Havixbeck";"51.9889908";"7.393656";"gastronomy";"Cafe Klute";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"52";"Poppenbeck 28, 48329 Havixbeck";"51.9893003";"7.3932141";"gastronomy";"Brauhaus Klute";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"53";"Stevern 36, 48301 Nottuln";"51.942227";"7.3815906";"gastronomy";"Stevertal";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"54";"";"51.9891883";"7.3933415";"gastronomy";"Gastronomy";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"55";"Temming 34, 48727 Billerbeck";"52.0129872";"7.4110051";"gastronomy";"Thumanns Mühle";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"56";"Twerenfeldweg 6, 48161 Münster";"51.9826853";"7.5497422";"gastronomy";"Nienberge - Haus Hüerländer";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"57";"Roxeler Straße 522, 48161 Münster";"51.9528787";"7.5534418";"gastronomy";"Roxel - Restaurant Ackermann";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"58";"Masbeck 30, 48329 Havixbeck";"51.9653601";"7.4278784";"gastronomy";"Haus Füsting";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"59";"Havixbecker Straße 6-8, 48308 Senden";"51.9178453";"7.4772779";"gastronomy";"Bösensell - Haus Wessing";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"60";"Havixbecker Straße 12, 48308 Senden";"51.9179204";"7.4765054";"gastronomy";"Bösensell - Gasthaus Zur Krone""";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"61";"Roxeler Straße 5, 48301 Nottuln";"51.9360006";"7.4140144";"gastronomy";"Zur Alten Post";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"62";"Altenberger Straße 23, 48161 Münster";"51.9991494";"7.5594957";"gastronomy";"Antica Italia";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"63";"Altenberger Straße 8, 48161 Münster";"51.9980902";"7.5626175";"gastronomy";"Zur Post Restaurant";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"64";"Am Dorn 5, 48308 Senden";"51.9038187";"7.4890579";"gastronomy";"Autohof Senden";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"65";"Gennerich 9, 48329 Havixbeck";"51.9793114";"7.4073436";"gastronomy";"Cafe im Sandsteinmuseum";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"66";"Blickallee 52, 48329 Havixbeck";"51.9745377";"7.4124463";"gastronomy";"Sandstein";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"67";"Marienplatz 1, 48329 Havixbeck";"51.942338";"7.4431097";"gastronomy";"Genuss Punkt";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"68";"";"51.9395832";"7.444475";"gastronomy";"Gastronomy";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"69";"Blickallee 40, 48329 Havixbeck";"51.9745345";"7.4107132";"supermarket";"Aldi";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"70";"Blickallee 42, 48329 Havixbeck";"51.9742834";"7.4108357";"supermarket";"K+K";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"71";"Blickallee, 48329 Havixbeck";"51.9740305";"7.4110125";"supermarket";"Edeka";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"72";"";"51.9667309";"7.5637289";"supermarket";"Aldi";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"73";"Rüschhausweg 149 - 151, 48161 Münster";"51.9732268";"7.5647582";"supermarket";"Rewe Kaufpark";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"74";"Dülmener Straße 45, 48163 Münster";"51.9245357";"7.5199878";"supermarket";"EDEKA Krause Albachten";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"75";"Auf dem Stift 26, 48329 Havixbeck";"51.9967107";"7.4618456";"supermarket";"Hohenholte - Vieth";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"76";"Toppheideweg 15, 48161 Münster";"51.9749183";"7.5698351";"supermarket";"Inter Markt";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"77";"Dülmener Straße 33, 48163 Münster";"51.9247183";"7.5223884";"supermarket";"Jentschura";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"78";"Schulte-Hermann-Straße 9, 48161 Münster";"51.9534552";"7.5327392";"supermarket";"K+K";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"79";"Schützenstraße 85, 48329 Havixbeck";"51.9777407";"7.4283958";"supermarket";"Netto Marken-Discount";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"80";"Nottulner Landweg 104, 48161 Münster";"51.9446122";"7.5275404";"supermarket";"Rewe";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"81";"Bahnhofstraße 59, 48308 Senden";"51.9128627";"7.4834701";"supermarket";"Bösensell - nah und gut";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"82";"Roxeler Straße 10, 48301 Nottuln";"51.9357454";"7.4125409";"supermarket";"Dettener Dorfladen";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"83";"Von-Schonebeck-Ring 104, 48161 Münster";"51.9943467";"7.5477086";"supermarket";"Edeka";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"84";"Plettendorfstraße 6, 48161 Münster";"51.9968821";"7.5560664";"supermarket";"K+K";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"85";"Wulfertstraße 60, 48161 Münster";"51.9534023";"7.5349899";"supermarket";"Netto Marken-Discount";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"86";"An der Feuerwache 35, 48329 Havixbeck";"51.9774474";"7.4052242";"supermarket";"Lidl";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"87";"Sebastianstraße 9, 48161 Münster";"51.9979412";"7.5585086";"bakery";"Schrunz";"[]";"[2, 1]";"small";"small";"medium";"small"
"88";"Rüschhausweg 147, 48161 Münster";"51.9730543";"7.5647587";"bakery";"Schrunz";"[]";"[2, 1]";"small";"small";"medium";"small"
"89";"Blickallee 40, 48329 Havixbeck";"51.9741857";"7.411356";"bakery";"Essmann";"[]";"[2, 1]";"small";"small";"medium";"small"
"90";"Roxeler Straße 571, 48161 Münster";"51.9542912";"7.5354553";"bakery";"Backhaus Jankord";"[]";"[2, 1]";"small";"small";"medium";"small"
"91";"Pantaleonplatz 2, 48161 Münster";"51.9537601";"7.5347425";"bakery";"Schrunz";"[]";"[2, 1]";"small";"small";"medium";"small"
"92";"Von-Schonebeck-Ring 104, 48161 Münster";"51.9942174";"7.5476666";"bakery";"Hosselmann";"[]";"[2, 1]";"small";"small";"medium";"small"
"93";"";"51.9775909";"7.4282796";"bakery";"Fröndhoff";"[]";"[2, 1]";"small";"small";"medium";"small"
"94";"";"51.9743449";"7.4112496";"bakery";"Hosselmann";"[]";"[2, 1]";"small";"small";"medium";"small"
"95";"";"51.9970602";"7.5559992";"bakery";"Essmann's Backstube";"[]";"[2, 1]";"small";"small";"medium";"small"
"96";"Dieckmannstraße 114";"51.9667888";"7.5636327";"bakery";"Backhaus Jankord";"[]";"[2, 1]";"small";"small";"medium";"small"
"97";"Sebastianstraße 2, 48161";"51.9987654";"7.5601075";"bakery";"Landbäckerei Elshoff";"[]";"[2, 1]";"small";"small";"medium";"small"
"98";"Siemensstraße 43, 48341 Altenberge";"52.0369602";"7.4532413";"bakery";"Essmann's Backstube";"[]";"[2, 1]";"small";"small";"medium";"small"
"99";"Rüschhausweg 149 - 151, 48161 Münster";"51.9731674";"7.564612";"bakery";"Essmann's Backstube";"[]";"[2, 1]";"small";"small";"medium";"small"
"100";"Siemensstraße 43, 48341 Altenberge";"52.0371465";"7.4531868";"bakery";"Ursprung Westfalen";"[]";"[2, 1]";"small";"small";"medium";"small"
"101";"";"51.9245075";"7.5201443";"bakery";"Kisfeld";"[]";"[2, 1]";"small";"small";"medium";"small"
"102";"";"51.9444871";"7.5279192";"bakery";"Hosselmann";"[]";"[2, 1]";"small";"small";"medium";"small"
"103";"";"51.9630506";"7.4166337";"supermarket";"Hof Arnina";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"104";"";"52.0106943";"7.5267245";"supermarket";"Food Market";"[0, 1, 2, 3, 4, 5]";"[0, 1, 2, 3, 4, 5]";"medium";"medium";"big";"medium"
"105";"Rüschhausweg 149 - 151, 48161 Münster";"51.973131";"7.5645194";"drink_shop";"REWE Getränkemarkt";"[0]";"[0, 3, 4]";"medium";"medium";"big";"medium"
"106";"Könemannstraße 11, 48161 Münster";"51.9527167";"7.5331961";"drink_shop";"Gut Getränke";"[0]";"[0, 3, 4]";"medium";"medium";"big";"medium"
"107";"Schützenstraße 81, 48329 Havixbeck";"51.9772925";"7.4274461";"drink_shop";"Trink & Spare";"[0]";"[0, 3, 4]";"medium";"medium";"big";"medium"
"108";"Espelstraße 14b, 48308 Senden";"51.9166232";"7.4761788";"healthcare_provider";"Bösensell - Dr. Thomas Benner";"[]";"[]";"small";"small";"medium";"small"
"109";"Toppheideweg 9, 48161 Münster";"51.9748097";"7.5705093";"healthcare_provider";"Dr. Jürgen Grünendahl";"[]";"[]";"small";"small";"medium";"small"
"110";"";"51.9416375";"7.442422";"healthcare_provider";"Arztpraxis Dr. Hoppe";"[]";"[]";"small";"small";"medium";"small"
"111";"";"51.9754233";"7.4111831";"healthcare_provider";"Dr. Benner, Dr. Leuer, Reutemann, Kupske, Mitschang";"[]";"[]";"small";"small";"medium";"small"
"112";"";"51.9752719";"7.4134867";"healthcare_provider";"Dr. Birtel";"[]";"[]";"small";"small";"medium";"small"
"113";"";"51.9737963";"7.4174487";"healthcare_provider";"Dr. med. Felicitas Banck";"[]";"[]";"small";"small";"medium";"small"
"114";"";"51.9761667";"7.4122";"healthcare_provider";"Aßhoff";"[]";"[]";"small";"small";"medium";"small"
"115";"";"51.9757964";"7.412284";"healthcare_provider";"Andreas Ballhausen";"[]";"[]";"small";"small";"medium";"small"
"116";"";"51.9767333";"7.4115167";"healthcare_provider";"Dr. Markus Greguletz";"[]";"[]";"small";"small";"medium";"small"
"117";"";"51.9755789";"7.4120179";"healthcare_provider";"Angelika Phlippen - Krüger";"[]";"[]";"small";"small";"medium";"small"
"118";"";"51.966437";"7.5641611";"healthcare_provider";"Healthcare Provider";"[]";"[]";"small";"small";"medium";"small"
"119";"";"51.9736424";"7.4149039";"healthcare_provider";"Busch, Barbara Winter & Birgit Wiewel-Terborg, Roggendorf, Ameling";"[]";"[]";"small";"small";"medium";"small"
"120";"Blickallee, 48329 Havixbeck";"51.9751879";"7.4113692";"healthcare_provider";"Dr. Potthast, Dr. Hoffmann, Dr. Neumann,";"[]";"[]";"small";"small";"medium";"small"
"121";"";"51.9730946";"7.5640443";"healthcare_provider";"HNO-Arzt Enver Camuz";"[]";"[]";"small";"small";"medium";"small"
"122";"";"51.9743503";"7.412753";"healthcare_provider";"Dr. Göhler, Schrowange, Cosfeld, Dr. Wohlmeiner";"[]";"[]";"small";"small";"medium";"small"
"123";"Pantaleonstraße 1, 48161 Münster";"51.9543747";"7.5327868";"healthcare_provider";"Orthopädische Praxis Roxel";"[]";"[]";"small";"small";"medium";"small"
"124";"";"51.9537304";"7.5334102";"healthcare_provider";"Dr. med. Heinz Kellinghaus";"[]";"[]";"small";"small";"medium";"small"
"125";"";"51.9547204";"7.5378608";"healthcare_provider";"Dr. med. H. Marguc";"[]";"[]";"small";"small";"medium";"small"
"126";"";"51.9544779";"7.5314597";"healthcare_provider";"Praxisgemeinschaft Roxel";"[]";"[]";"small";"small";"medium";"small"
"127";"";"51.9549344";"7.5337903";"healthcare_provider";"Dr. med. Marianne Feldmeier";"[]";"[]";"small";"small";"medium";"small"
"128";"";"51.9523592";"7.5347562";"healthcare_provider";"Dr. med. G. Eggert";"[]";"[]";"small";"small";"medium";"small"
"129";"";"51.9767376";"7.4124516";"healthcare_provider";"Kalari Heilkunst";"[]";"[]";"small";"small";"medium";"small"
"130";"";"51.9429041";"7.4450397";"healthcare_provider";"Stift Tilbeck GmbH";"[]";"[]";"small";"small";"medium";"small"
"131";"";"51.9422982";"7.4454033";"healthcare_provider";"Stift Tilbeck GmbH";"[]";"[]";"small";"small";"medium";"small"
"132";"Am Pastorenbusch 2, 48161 Münster";"51.9948005";"7.5572159";"healthcare_provider";"Dr. med. Heide Böggemeyer und Marion Saur";"[]";"[]";"small";"small";"medium";"small"
"133";"Altenberger Straße 18, 48329 Havixbeck";"51.9775584";"7.4135569";"healthcare_provider";"Pflegeheim Marienstift Droste zu Hülshoff";"[]";"[]";"small";"small";"medium";"small"
"134";"";"51.9416905";"7.4438137";"healthcare_provider";"Konrad v. Parzam Haus";"[]";"[]";"small";"small";"medium";"small"
"135";"Rottkamp 49";"51.923862";"7.5226989";"healthcare_provider";"Alwine-Lauterbach-Seniorenzentrum";"[]";"[]";"small";"small";"medium";"small"
"136";"";"51.9425382";"7.4446063";"healthcare_provider";"Stift Tilbeck GmbH";"[]";"[]";"small";"small";"medium";"small"
"137";"";"51.9426133";"7.4452736";"healthcare_provider";"Stift Tilbeck GmbH";"[]";"[]";"small";"small";"medium";"small"
